"Time","172.212.226.225:9100direction: rx gpu_index: 0"
2026-05-03 19:44:20,3.02 GB/s
2026-05-03 19:44:40,3.02 GB/s
2026-05-03 19:45:00,3.11 GB/s
2026-05-03 19:45:20,2.99 GB/s
2026-05-03 19:45:40,2.99 GB/s
2026-05-03 19:46:00,3.11 GB/s
2026-05-03 19:46:20,3.03 GB/s
2026-05-03 19:46:40,3.03 GB/s
2026-05-03 19:47:00,3.02 GB/s
2026-05-03 19:47:20,3.14 GB/s
2026-05-03 19:47:40,3.14 GB/s
2026-05-03 19:48:00,2.99 GB/s
2026-05-03 19:48:20,3.10 GB/s
2026-05-03 19:48:40,3.10 GB/s
2026-05-03 19:49:00,3.00 GB/s
2026-05-03 19:49:20,3.01 GB/s
2026-05-03 19:49:40,3.01 GB/s
2026-05-03 19:50:00,3.13 GB/s
2026-05-03 19:50:20,2.98 GB/s
2026-05-03 19:50:40,2.98 GB/s
2026-05-03 19:51:00,3.07 GB/s
2026-05-03 19:51:20,3.01 GB/s
2026-05-03 19:51:40,3.01 GB/s
2026-05-03 19:52:00,2.99 GB/s
2026-05-03 19:52:20,3.14 GB/s
2026-05-03 19:52:40,3.14 GB/s
2026-05-03 19:53:00,3.01 GB/s
2026-05-03 19:53:20,3.06 GB/s
2026-05-03 19:53:40,3.06 GB/s
2026-05-03 19:54:00,3.04 GB/s
2026-05-03 19:54:20,2.99 GB/s
2026-05-03 19:54:40,2.99 GB/s
2026-05-03 19:55:00,3.15 GB/s
2026-05-03 19:55:20,2.99 GB/s
2026-05-03 19:55:40,2.99 GB/s
2026-05-03 19:56:00,3.02 GB/s
2026-05-03 19:56:20,3.16 GB/s
2026-05-03 19:56:40,3.16 GB/s
2026-05-03 19:57:00,3.13 GB/s
2026-05-03 19:57:20,3.17 GB/s
2026-05-03 19:57:40,3.17 GB/s
2026-05-03 19:58:00,3.09 GB/s
2026-05-03 19:58:20,3.21 GB/s
2026-05-03 19:58:40,3.21 GB/s
2026-05-03 19:59:00,3.08 GB/s
2026-05-03 19:59:20,3.20 GB/s
2026-05-03 19:59:40,3.20 GB/s
2026-05-03 20:00:00,3.08 GB/s
2026-05-03 20:00:20,3.21 GB/s
2026-05-03 20:00:40,3.21 GB/s
2026-05-03 20:01:00,3.07 GB/s
2026-05-03 20:01:20,3.20 GB/s
2026-05-03 20:01:40,3.20 GB/s
2026-05-03 20:02:00,3.00 GB/s
2026-05-03 20:02:20,3.05 GB/s
2026-05-03 20:02:40,3.05 GB/s
2026-05-03 20:03:00,3.02 GB/s
2026-05-03 20:03:20,3.00 GB/s
2026-05-03 20:03:40,3.00 GB/s
2026-05-03 20:04:00,3.17 GB/s
2026-05-03 20:04:20,2.98 GB/s
2026-05-03 20:04:40,2.98 GB/s
2026-05-03 20:05:00,3.03 GB/s
2026-05-03 20:05:20,3.08 GB/s
2026-05-03 20:05:40,3.08 GB/s
2026-05-03 20:06:00,3.00 GB/s
2026-05-03 20:06:20,3.11 GB/s
2026-05-03 20:06:40,3.11 GB/s
2026-05-03 20:07:00,3.00 GB/s
2026-05-03 20:07:20,3.02 GB/s
2026-05-03 20:07:40,3.02 GB/s
2026-05-03 20:08:00,3.09 GB/s
2026-05-03 20:08:20,3.00 GB/s
2026-05-03 20:08:40,3.00 GB/s
2026-05-03 20:09:00,3.10 GB/s
2026-05-03 20:09:20,3.03 GB/s
2026-05-03 20:09:40,3.03 GB/s
2026-05-03 20:10:00,3.01 GB/s
2026-05-03 20:10:20,3.13 GB/s
2026-05-03 20:10:40,3.13 GB/s
2026-05-03 20:11:00,2.99 GB/s
2026-05-03 20:11:20,3.06 GB/s
2026-05-03 20:11:40,3.06 GB/s
2026-05-03 20:12:00,3.04 GB/s
2026-05-03 20:12:20,3.00 GB/s
2026-05-03 20:12:40,3.00 GB/s
2026-05-03 20:13:00,3.15 GB/s
2026-05-03 20:13:20,2.99 GB/s
2026-05-03 20:13:40,2.99 GB/s
2026-05-03 20:14:00,3.04 GB/s
2026-05-03 20:14:20,3.07 GB/s
2026-05-03 20:14:40,3.07 GB/s
2026-05-03 20:15:00,3.01 GB/s
2026-05-03 20:15:20,3.15 GB/s
2026-05-03 20:15:40,3.15 GB/s
2026-05-03 20:16:00,2.99 GB/s
2026-05-03 20:16:20,3.05 GB/s
2026-05-03 20:16:40,3.05 GB/s
2026-05-03 20:17:00,3.04 GB/s
2026-05-03 20:17:20,2.99 GB/s
2026-05-03 20:17:40,2.99 GB/s
2026-05-03 20:18:00,3.04 GB/s
2026-05-03 20:18:20,3.01 GB/s
2026-05-03 20:18:40,3.01 GB/s
2026-05-03 20:19:00,2.99 GB/s
2026-05-03 20:19:20,3.12 GB/s
2026-05-03 20:19:40,3.12 GB/s
2026-05-03 20:20:00,3.00 GB/s
2026-05-03 20:20:20,3.06 GB/s
2026-05-03 20:20:40,3.06 GB/s
2026-05-03 20:21:00,3.04 GB/s
2026-05-03 20:21:20,2.99 GB/s
2026-05-03 20:21:40,2.99 GB/s
2026-05-03 20:22:00,3.14 GB/s
2026-05-03 20:22:20,2.99 GB/s
2026-05-03 20:22:40,2.99 GB/s
2026-05-03 20:23:00,3.02 GB/s
2026-05-03 20:23:20,3.08 GB/s
2026-05-03 20:23:40,3.08 GB/s
2026-05-03 20:24:00,3.00 GB/s
2026-05-03 20:24:20,3.12 GB/s
2026-05-03 20:24:40,3.12 GB/s
2026-05-03 20:25:00,2.99 GB/s
2026-05-03 20:25:20,3.04 GB/s
2026-05-03 20:25:40,3.04 GB/s
2026-05-03 20:26:00,3.11 GB/s
2026-05-03 20:26:20,3.00 GB/s
2026-05-03 20:26:40,3.00 GB/s
2026-05-03 20:27:00,3.09 GB/s
2026-05-03 20:27:20,3.02 GB/s
2026-05-03 20:27:40,3.02 GB/s
2026-05-03 20:28:00,2.99 GB/s
2026-05-03 20:28:20,3.13 GB/s
2026-05-03 20:28:40,3.13 GB/s
2026-05-03 20:29:00,3.00 GB/s
2026-05-03 20:29:20,3.04 GB/s
2026-05-03 20:29:40,3.04 GB/s
2026-05-03 20:30:00,3.04 GB/s
2026-05-03 20:30:20,2.98 GB/s
2026-05-03 20:30:40,2.98 GB/s
2026-05-03 20:31:00,3.14 GB/s
2026-05-03 20:31:20,3.00 GB/s
2026-05-03 20:31:40,3.00 GB/s
2026-05-03 20:32:00,3.01 GB/s
2026-05-03 20:32:20,3.09 GB/s
2026-05-03 20:32:40,3.09 GB/s
2026-05-03 20:33:00,2.99 GB/s
2026-05-03 20:33:20,3.09 GB/s
2026-05-03 20:33:40,3.09 GB/s
2026-05-03 20:34:00,3.01 GB/s
2026-05-03 20:34:20,2.98 GB/s
2026-05-03 20:34:40,2.98 GB/s
2026-05-03 20:35:00,3.12 GB/s
2026-05-03 20:35:20,2.99 GB/s
2026-05-03 20:35:40,2.99 GB/s
2026-05-03 20:36:00,3.00 GB/s
2026-05-03 20:36:20,3.08 GB/s
2026-05-03 20:36:40,3.08 GB/s
2026-05-03 20:37:00,3.00 GB/s
2026-05-03 20:37:20,3.09 GB/s
2026-05-03 20:37:40,3.09 GB/s
2026-05-03 20:38:00,3.00 GB/s
2026-05-03 20:38:20,3.01 GB/s
2026-05-03 20:38:40,3.01 GB/s
2026-05-03 20:39:00,3.12 GB/s
2026-05-03 20:39:20,3.00 GB/s
2026-05-03 20:39:40,3.00 GB/s
2026-05-03 20:40:00,3.05 GB/s
2026-05-03 20:40:20,3.03 GB/s
2026-05-03 20:40:40,3.03 GB/s
2026-05-03 20:41:00,2.98 GB/s
2026-05-03 20:41:20,3.14 GB/s
2026-05-03 20:41:40,3.14 GB/s
2026-05-03 20:42:00,3.00 GB/s
2026-05-03 20:42:20,3.04 GB/s
2026-05-03 20:42:40,3.04 GB/s
2026-05-03 20:43:00,3.09 GB/s
2026-05-03 20:43:20,3.00 GB/s
2026-05-03 20:43:40,3.00 GB/s
2026-05-03 20:44:00,3.11 GB/s
