"Time","{instance=""172.212.226.225:9100"", transport=""ethernet""}"
2026-04-27 21:07:45,8.90 TB
2026-04-27 21:08:00,8.93 TB
2026-04-27 21:08:15,8.96 TB
2026-04-27 21:08:30,8.99 TB
2026-04-27 21:08:45,9.03 TB
2026-04-27 21:09:00,9.06 TB
2026-04-27 21:09:15,9.09 TB
2026-04-27 21:09:30,9.12 TB
2026-04-27 21:09:45,9.15 TB
2026-04-27 21:10:00,9.18 TB
2026-04-27 21:10:15,9.21 TB
2026-04-27 21:10:30,9.24 TB
2026-04-27 21:10:45,9.27 TB
2026-04-27 21:11:00,9.31 TB
2026-04-27 21:11:15,9.34 TB
2026-04-27 21:11:30,9.37 TB
2026-04-27 21:11:45,9.40 TB
2026-04-27 21:12:00,9.43 TB
2026-04-27 21:12:15,9.46 TB
2026-04-27 21:12:30,9.49 TB
2026-04-27 21:12:45,9.52 TB
2026-04-27 21:13:00,9.56 TB
2026-04-27 21:13:15,9.59 TB
2026-04-27 21:13:30,9.62 TB
2026-04-27 21:13:45,9.65 TB
2026-04-27 21:14:00,9.68 TB
2026-04-27 21:14:15,9.71 TB
2026-04-27 21:14:30,9.74 TB
2026-04-27 21:14:45,9.77 TB
2026-04-27 21:15:00,9.81 TB
2026-04-27 21:15:15,9.84 TB
2026-04-27 21:15:30,9.87 TB
2026-04-27 21:15:45,9.90 TB
2026-04-27 21:16:00,9.93 TB
2026-04-27 21:16:15,9.96 TB
2026-04-27 21:16:30,9.99 TB
2026-04-27 21:16:45,10.0 TB
2026-04-27 21:17:00,10.1 TB
2026-04-27 21:17:15,10.1 TB
2026-04-27 21:17:30,10.1 TB
2026-04-27 21:17:45,10.1 TB
2026-04-27 21:18:00,10.2 TB
2026-04-27 21:18:15,10.2 TB
2026-04-27 21:18:30,10.2 TB
2026-04-27 21:18:45,10.3 TB
2026-04-27 21:19:00,10.3 TB
2026-04-27 21:19:15,10.3 TB
2026-04-27 21:19:30,10.4 TB
2026-04-27 21:19:45,10.4 TB
2026-04-27 21:20:00,10.4 TB
2026-04-27 21:20:15,10.5 TB
2026-04-27 21:20:30,10.5 TB
2026-04-27 21:20:45,10.5 TB
2026-04-27 21:21:00,10.6 TB
2026-04-27 21:21:15,10.6 TB
2026-04-27 21:21:30,10.6 TB
2026-04-27 21:21:45,10.6 TB
2026-04-27 21:22:00,10.7 TB
2026-04-27 21:22:15,10.7 TB
2026-04-27 21:22:30,10.7 TB
2026-04-27 21:22:45,10.8 TB
2026-04-27 21:23:00,10.8 TB
2026-04-27 21:23:15,10.8 TB
2026-04-27 21:23:30,10.9 TB
2026-04-27 21:23:45,10.9 TB
2026-04-27 21:24:00,10.9 TB
2026-04-27 21:24:15,11.0 TB
2026-04-27 21:24:30,11.0 TB
2026-04-27 21:24:45,11.0 TB
2026-04-27 21:25:00,11.1 TB
2026-04-27 21:25:15,11.1 TB
2026-04-27 21:25:30,11.1 TB
2026-04-27 21:25:45,11.2 TB
2026-04-27 21:26:00,11.2 TB
2026-04-27 21:26:15,11.2 TB
2026-04-27 21:26:30,11.2 TB
2026-04-27 21:26:45,11.3 TB
2026-04-27 21:27:00,11.3 TB
2026-04-27 21:27:15,11.3 TB
2026-04-27 21:27:30,11.4 TB
2026-04-27 21:27:45,11.4 TB
2026-04-27 21:28:00,11.4 TB
2026-04-27 21:28:15,11.5 TB
2026-04-27 21:28:30,11.5 TB
2026-04-27 21:28:45,11.5 TB
2026-04-27 21:29:00,11.6 TB
2026-04-27 21:29:15,11.6 TB
2026-04-27 21:29:30,11.6 TB
2026-04-27 21:29:45,11.7 TB
2026-04-27 21:30:00,11.7 TB
2026-04-27 21:30:15,11.7 TB
2026-04-27 21:30:30,11.7 TB
2026-04-27 21:30:45,11.8 TB
2026-04-27 21:31:00,11.8 TB
2026-04-27 21:31:15,11.8 TB
2026-04-27 21:31:30,11.9 TB
2026-04-27 21:31:45,11.9 TB
2026-04-27 21:32:00,11.9 TB
2026-04-27 21:32:15,12.0 TB
2026-04-27 21:32:30,12.0 TB
2026-04-27 21:32:45,12.0 TB
2026-04-27 21:33:00,12.1 TB
2026-04-27 21:33:15,12.1 TB
2026-04-27 21:33:30,12.1 TB
2026-04-27 21:33:45,12.2 TB
2026-04-27 21:34:00,12.2 TB
2026-04-27 21:34:15,12.2 TB
2026-04-27 21:34:30,12.2 TB
2026-04-27 21:34:45,12.3 TB
2026-04-27 21:35:00,12.3 TB
2026-04-27 21:35:15,12.3 TB
2026-04-27 21:35:30,12.4 TB
2026-04-27 21:35:45,12.4 TB
