"Time","172.212.226.225:9100direction: rx gpu_index: 0"
2026-04-27 22:11:45,2.00 kB/s
2026-04-27 22:12:00,1.98 kB/s
2026-04-27 22:12:15,1.98 kB/s
2026-04-27 22:12:30,1.96 kB/s
2026-04-27 22:12:45,1.96 kB/s
2026-04-27 22:13:00,2.00 kB/s
2026-04-27 22:13:15,2.00 kB/s
2026-04-27 22:13:30,1.96 kB/s
2026-04-27 22:13:45,1.96 kB/s
2026-04-27 22:14:00,1.96 kB/s
2026-04-27 22:14:15,1.96 kB/s
2026-04-27 22:14:30,1.98 kB/s
